source,target,relationship,source_type,target_type
Disposal,Disposal enabling system requirements,AccessRelationship,BusinessFunction,BusinessObject
Business or Mission Analysis,Preliminary validation criteria,AccessRelationship,BusinessFunction,BusinessObject
Maintenance,Maintenance report,AccessRelationship,BusinessFunction,BusinessObject
Integration,System elements,AccessRelationship,BusinessFunction,BusinessObject
Risk Management,Risk record,AccessRelationship,BusinessFunction,BusinessObject
Quality Management,QM corrective actions,AccessRelationship,BusinessFunction,BusinessObject
Acquisition,Acquisition agreement,AccessRelationship,BusinessFunction,BusinessObject
Stakeholder Needs and Requirements Definition,Preliminary validation criteria,AccessRelationship,BusinessFunction,BusinessObject
Integration,Life cycle concepts,AccessRelationship,BusinessFunction,BusinessObject
Project Planning,Life cycle models,AccessRelationship,BusinessFunction,BusinessObject
Validation,Validated system,AccessRelationship,BusinessFunction,BusinessObject
Integration,Integrated system or system elements,AccessRelationship,BusinessFunction,BusinessObject
Quality Management,Customer satisfaction inputs,AccessRelationship,BusinessFunction,BusinessObject
Configuration Management,Candidate configuration items,AccessRelationship,BusinessFunction,BusinessObject
Knowledge Management,Knowledge management system,AccessRelationship,BusinessFunction,BusinessObject
Risk Management,Risk management strategy,AccessRelationship,BusinessFunction,BusinessObject
Business or Mission Analysis,Alternative solution classes,AccessRelationship,BusinessFunction,BusinessObject
System Requirements Definition,Stakeholder requirements,AccessRelationship,BusinessFunction,BusinessObject
Transition,Transition constraints,AccessRelationship,BusinessFunction,BusinessObject
Maintenance,Life cycle concepts,AccessRelationship,BusinessFunction,BusinessObject
Life Cycle Model Management,Life cycle model management plan,AccessRelationship,BusinessFunction,BusinessObject
Stakeholder Needs and Requirements Definition,Stakeholder needs and requirements definition strategy,AccessRelationship,BusinessFunction,BusinessObject
Quality Management,Organization strategic plan,AccessRelationship,BusinessFunction,BusinessObject
Knowledge Management,Organization strategic plan,AccessRelationship,BusinessFunction,BusinessObject
Architecture Definition,Life cycle concepts,AccessRelationship,BusinessFunction,BusinessObject
Supply,Request for supply,AccessRelationship,BusinessFunction,BusinessObject
Stakeholder Needs and Requirements Definition,Alternative solution classes,AccessRelationship,BusinessFunction,BusinessObject
Architecture Definition,Preliminary TPM data,AccessRelationship,BusinessFunction,BusinessObject
Transition,Trained operators and maintainers,AccessRelationship,BusinessFunction,BusinessObject
Risk Management,Candidate risks and opportunities,AccessRelationship,BusinessFunction,BusinessObject
Project Planning,Project constraints,AccessRelationship,BusinessFunction,BusinessObject
Implementation,Transition enabling system requirements,AccessRelationship,BusinessFunction,BusinessObject
Stakeholder Needs and Requirements Definition,MOE data,AccessRelationship,BusinessFunction,BusinessObject
Stakeholder Needs and Requirements Definition,Initial RVTM,AccessRelationship,BusinessFunction,BusinessObject
Maintenance,Validated system,AccessRelationship,BusinessFunction,BusinessObject
Implementation,Interface definition,AccessRelationship,BusinessFunction,BusinessObject
Business or Mission Analysis,Concept of operations (ConOps),AccessRelationship,BusinessFunction,BusinessObject
Disposal,Disposal report,AccessRelationship,BusinessFunction,BusinessObject
Acquisition,Acquisition need,AccessRelationship,BusinessFunction,BusinessObject
Portfolio Management,Portfolio management record,AccessRelationship,BusinessFunction,BusinessObject
Project Assessment and Control,Project budget,AccessRelationship,BusinessFunction,BusinessObject
Implementation,Implementation strategy,AccessRelationship,BusinessFunction,BusinessObject
Infrastructure Management,Project infrastructure needs,AccessRelationship,BusinessFunction,BusinessObject
Acquisition,Acquisition record,AccessRelationship,BusinessFunction,BusinessObject
Verification,Verification record,AccessRelationship,BusinessFunction,BusinessObject
Project Planning,Project tailoring strategy,AccessRelationship,BusinessFunction,BusinessObject
Business or Mission Analysis,Stakeholder requirements traceability,AccessRelationship,BusinessFunction,BusinessObject
Project Assessment and Control,Reports,AccessRelationship,BusinessFunction,BusinessObject
Disposal,Validated system,AccessRelationship,BusinessFunction,BusinessObject
Design Definition,Life cycle constraints,AccessRelationship,BusinessFunction,BusinessObject
Quality Assurance,Quality assurance evaluation report,AccessRelationship,BusinessFunction,BusinessObject
Business or Mission Analysis,Major stakeholder identification,AccessRelationship,BusinessFunction,BusinessObject
Validation,Final RVTM,AccessRelationship,BusinessFunction,BusinessObject
Verification,Verification enabling system requirements,AccessRelationship,BusinessFunction,BusinessObject
Knowledge Management,Records,AccessRelationship,BusinessFunction,BusinessObject
Architecture Definition,System functional interface identification,AccessRelationship,BusinessFunction,BusinessObject
System Requirements Definition,Verification criteria,AccessRelationship,BusinessFunction,BusinessObject
Disposal,Disposal constraints,AccessRelationship,BusinessFunction,BusinessObject
Implementation,System architecture rationale,AccessRelationship,BusinessFunction,BusinessObject
Business or Mission Analysis,Organization strategic plan,AccessRelationship,BusinessFunction,BusinessObject
Acquisition,Acquisition report,AccessRelationship,BusinessFunction,BusinessObject
Project Planning,Project planning record,AccessRelationship,BusinessFunction,BusinessObject
Disposal,Disposal strategy,AccessRelationship,BusinessFunction,BusinessObject
Validation,Validation criteria,AccessRelationship,BusinessFunction,BusinessObject
Information Management,Project change requests,AccessRelationship,BusinessFunction,BusinessObject
Stakeholder Needs and Requirements Definition,Life cycle concepts,AccessRelationship,BusinessFunction,BusinessObject
Life Cycle Model Management,Life cycle model management report,AccessRelationship,BusinessFunction,BusinessObject
Maintenance,Trained operators and maintainers,AccessRelationship,BusinessFunction,BusinessObject
System Requirements Definition,System requirements definition record,AccessRelationship,BusinessFunction,BusinessObject
Operation,Operation record,AccessRelationship,BusinessFunction,BusinessObject
Acquisition,Acquisition strategy,AccessRelationship,BusinessFunction,BusinessObject
Integration,Integration constraints,AccessRelationship,BusinessFunction,BusinessObject
Stakeholder Needs and Requirements Definition,Project constraints,AccessRelationship,BusinessFunction,BusinessObject
System Requirements Definition,Bedarf an Leistungsmessungen,AccessRelationship,BusinessFunction,BusinessObject
System Requirements Definition,System functional interface identification,AccessRelationship,BusinessFunction,BusinessObject
Configuration Management,Configuration baselines,AccessRelationship,BusinessFunction,BusinessObject
Architecture Definition,Design traceability,AccessRelationship,BusinessFunction,BusinessObject
Quality Assurance,Quality assurance plan,AccessRelationship,BusinessFunction,BusinessObject
Verification,System requirements,AccessRelationship,BusinessFunction,BusinessObject
Project Assessment and Control,Project performance measures needs,AccessRelationship,BusinessFunction,BusinessObject
Stakeholder Needs and Requirements Definition,Stakeholder requirements traceability,AccessRelationship,BusinessFunction,BusinessObject
Maintenance,Validation report,AccessRelationship,BusinessFunction,BusinessObject
Validation,Life cycle concepts,AccessRelationship,BusinessFunction,BusinessObject
Project Planning,Project human resources needs,AccessRelationship,BusinessFunction,BusinessObject
Implementation,Implementation traceability,AccessRelationship,BusinessFunction,BusinessObject
Transition,Transition strategy,AccessRelationship,BusinessFunction,BusinessObject
Acquisition,Request for supply,AccessRelationship,BusinessFunction,BusinessObject
Validation,Validated requirements,AccessRelationship,BusinessFunction,BusinessObject
System Requirements Definition,System function identification,AccessRelationship,BusinessFunction,BusinessObject
System Analysis,Analysis situations,AccessRelationship,BusinessFunction,BusinessObject
Quality Assurance,QM corrective actions,AccessRelationship,BusinessFunction,BusinessObject
Supply,Supplied System,AccessRelationship,BusinessFunction,BusinessObject
Portfolio Management,Organizational infrastructure needs,AccessRelationship,BusinessFunction,BusinessObject
Transition,Installation procedure,AccessRelationship,BusinessFunction,BusinessObject
Quality Management,Quality management plan,AccessRelationship,BusinessFunction,BusinessObject
Supply,Supply response,AccessRelationship,BusinessFunction,BusinessObject
Project Assessment and Control,Project assessment and control record,AccessRelationship,BusinessFunction,BusinessObject
Stakeholder Needs and Requirements Definition,Validation criteria,AccessRelationship,BusinessFunction,BusinessObject
Portfolio Management,Project portfolio,AccessRelationship,BusinessFunction,BusinessObject
Business or Mission Analysis,Life cycle constraints,AccessRelationship,BusinessFunction,BusinessObject
Life Cycle Model Management,Quality management evaluation report,AccessRelationship,BusinessFunction,BusinessObject
Design Definition,Preliminary TPM needs,AccessRelationship,BusinessFunction,BusinessObject
Acquisition,Acquired system,AccessRelationship,BusinessFunction,BusinessObject
Supply,Supply record,AccessRelationship,BusinessFunction,BusinessObject
Project Assessment and Control,Project change requests,AccessRelationship,BusinessFunction,BusinessObject
Decision Management,Decision record,AccessRelationship,BusinessFunction,BusinessObject
Risk Management,Risk report,AccessRelationship,BusinessFunction,BusinessObject
Configuration Management,Configuration management record,AccessRelationship,BusinessFunction,BusinessObject
Integration,Integration report,AccessRelationship,BusinessFunction,BusinessObject
Infrastructure Management,Organizational infrastructure needs,AccessRelationship,BusinessFunction,BusinessObject
System Analysis,System analysis strategy,AccessRelationship,BusinessFunction,BusinessObject
System Requirements Definition,Life cycle constraints,AccessRelationship,BusinessFunction,BusinessObject
Integration,Integration strategy,AccessRelationship,BusinessFunction,BusinessObject
Implementation,System element documentation,AccessRelationship,BusinessFunction,BusinessObject
Disposal,Life cycle concepts,AccessRelationship,BusinessFunction,BusinessObject
Validation,Validation procedure,AccessRelationship,BusinessFunction,BusinessObject
Measurement,Measurement strategy,AccessRelationship,BusinessFunction,BusinessObject
Design Definition,System functional interface identification,AccessRelationship,BusinessFunction,BusinessObject
Design Definition,Interface definition update identification,AccessRelationship,BusinessFunction,BusinessObject
Portfolio Management,Supply strategy,AccessRelationship,BusinessFunction,BusinessObject
System Analysis,System analysis report,AccessRelationship,BusinessFunction,BusinessObject
Design Definition,System design rationale,AccessRelationship,BusinessFunction,BusinessObject
Project Planning,Source documents,AccessRelationship,BusinessFunction,BusinessObject
Configuration Management,Configuration management report,AccessRelationship,BusinessFunction,BusinessObject
Design Definition,Design definition strategy,AccessRelationship,BusinessFunction,BusinessObject
Disposal,Disposed system,AccessRelationship,BusinessFunction,BusinessObject
Business or Mission Analysis,Preliminary life cycle concepts,AccessRelationship,BusinessFunction,BusinessObject
Implementation,Design traceability,AccessRelationship,BusinessFunction,BusinessObject
Maintenance,Operator/maintainer training material,AccessRelationship,BusinessFunction,BusinessObject
Stakeholder Needs and Requirements Definition,Problem or opportunity statement,AccessRelationship,BusinessFunction,BusinessObject
Implementation,Implementation constraints,AccessRelationship,BusinessFunction,BusinessObject
Project Assessment and Control,QM corrective actions,AccessRelationship,BusinessFunction,BusinessObject
Disposal,Operation report,AccessRelationship,BusinessFunction,BusinessObject
Project Assessment and Control,"Work Breakdown Structure, WBS",AccessRelationship,BusinessFunction,BusinessObject
Validation,Installed system,AccessRelationship,BusinessFunction,BusinessObject
Portfolio Management,Project status report,AccessRelationship,BusinessFunction,BusinessObject
Design Definition,System element description,AccessRelationship,BusinessFunction,BusinessObject
Implementation,Operator/maintainer training material,AccessRelationship,BusinessFunction,BusinessObject
Information Management,Information management record,AccessRelationship,BusinessFunction,BusinessObject
Project Assessment and Control,Measurement repository,AccessRelationship,BusinessFunction,BusinessObject
Verification,Verification strategy,AccessRelationship,BusinessFunction,BusinessObject
Project Assessment and Control,Configuration baselines,AccessRelationship,BusinessFunction,BusinessObject
Design Definition,Preliminary interface definition,AccessRelationship,BusinessFunction,BusinessObject
Stakeholder Needs and Requirements Definition,MOE needs,AccessRelationship,BusinessFunction,BusinessObject
Operation,Trained operators and maintainers,AccessRelationship,BusinessFunction,BusinessObject
Supply,Supply report,AccessRelationship,BusinessFunction,BusinessObject
Business or Mission Analysis,Preliminary MOE data,AccessRelationship,BusinessFunction,BusinessObject
Human Resource Management,Project portfolio,AccessRelationship,BusinessFunction,BusinessObject
Project Assessment and Control,Quality assurance evaluation report,AccessRelationship,BusinessFunction,BusinessObject
Design Definition,Interface definition,AccessRelationship,BusinessFunction,BusinessObject
Stakeholder Needs and Requirements Definition,Stakeholder needs and requirements definition record,AccessRelationship,BusinessFunction,BusinessObject
Stakeholder Needs and Requirements Definition,Preliminary life cycle concepts,AccessRelationship,BusinessFunction,BusinessObject
Implementation,System architecture description,AccessRelationship,BusinessFunction,BusinessObject
Information Management,Information management strategy,AccessRelationship,BusinessFunction,BusinessObject
Information Management,Information repository,AccessRelationship,BusinessFunction,BusinessObject
Operation,Maintenance report,AccessRelationship,BusinessFunction,BusinessObject
Validation,Stakeholder requirements,AccessRelationship,BusinessFunction,BusinessObject
Operation,Validation report,AccessRelationship,BusinessFunction,BusinessObject
Life Cycle Model Management,"Organizational policies, procedures, and assets",AccessRelationship,BusinessFunction,BusinessObject
Configuration Management,Project change requests,AccessRelationship,BusinessFunction,BusinessObject
Portfolio Management,Portfolio management plan,AccessRelationship,BusinessFunction,BusinessObject
Transition,Transition record,AccessRelationship,BusinessFunction,BusinessObject
Stakeholder Needs and Requirements Definition,Stakeholder requirements,AccessRelationship,BusinessFunction,BusinessObject
Project Assessment and Control,Project status report,AccessRelationship,BusinessFunction,BusinessObject
Architecture Definition,Documentation tree,AccessRelationship,BusinessFunction,BusinessObject
Stakeholder Needs and Requirements Definition,Preliminary MOE data,AccessRelationship,BusinessFunction,BusinessObject
Architecture Definition,Architecture definition strategy,AccessRelationship,BusinessFunction,BusinessObject
Design Definition,System requirements,AccessRelationship,BusinessFunction,BusinessObject
Business or Mission Analysis,Business or mission analysis record,AccessRelationship,BusinessFunction,BusinessObject
Project Assessment and Control,Information repository,AccessRelationship,BusinessFunction,BusinessObject
Project Assessment and Control,Project control requests,AccessRelationship,BusinessFunction,BusinessObject
Supply,Organization strategic plan,AccessRelationship,BusinessFunction,BusinessObject
Validation,Validation record,AccessRelationship,BusinessFunction,BusinessObject
Stakeholder Needs and Requirements Definition,Source documents,AccessRelationship,BusinessFunction,BusinessObject
Business or Mission Analysis,Source documents,AccessRelationship,BusinessFunction,BusinessObject
Design Definition,System architecture description,AccessRelationship,BusinessFunction,BusinessObject
Human Resource Management,Human resource management plan,AccessRelationship,BusinessFunction,BusinessObject
Operation,Operation report,AccessRelationship,BusinessFunction,BusinessObject
Human Resource Management,Human resource management record,AccessRelationship,BusinessFunction,BusinessObject
Operation,Operation strategy,AccessRelationship,BusinessFunction,BusinessObject
Verification,Life cycle concepts,AccessRelationship,BusinessFunction,BusinessObject
Verification,Interface definition,AccessRelationship,BusinessFunction,BusinessObject
System Requirements Definition,System requirements,AccessRelationship,BusinessFunction,BusinessObject
Integration,System element documentation,AccessRelationship,BusinessFunction,BusinessObject
Project Planning,"Work Breakdown Structure, WBS",AccessRelationship,BusinessFunction,BusinessObject
Configuration Management,Configuration management strategy,AccessRelationship,BusinessFunction,BusinessObject
Maintenance,Maintenance enabling system requirements,AccessRelationship,BusinessFunction,BusinessObject
Human Resource Management,Organization strategic plan,AccessRelationship,BusinessFunction,BusinessObject
Decision Management,Decision management strategy,AccessRelationship,BusinessFunction,BusinessObject
Design Definition,Implementation traceability,AccessRelationship,BusinessFunction,BusinessObject
Knowledge Management,Project lessons learned,AccessRelationship,BusinessFunction,BusinessObject
System Requirements Definition,MOP data,AccessRelationship,BusinessFunction,BusinessObject
Decision Management,Decision report,AccessRelationship,BusinessFunction,BusinessObject
Design Definition,Preliminary TPM data,AccessRelationship,BusinessFunction,BusinessObject
Knowledge Management,Knowledge management plan,AccessRelationship,BusinessFunction,BusinessObject
Project Assessment and Control,Project schedule,AccessRelationship,BusinessFunction,BusinessObject
Project Planning,QM corrective actions,AccessRelationship,BusinessFunction,BusinessObject
Design Definition,Architecture traceability,AccessRelationship,BusinessFunction,BusinessObject
Stakeholder Needs and Requirements Definition,Stakeholder needs,AccessRelationship,BusinessFunction,BusinessObject
System Analysis,Life cycle constraints,AccessRelationship,BusinessFunction,BusinessObject
System Requirements Definition,Initial RVTM,AccessRelationship,BusinessFunction,BusinessObject
Infrastructure Management,Organization strategic plan,AccessRelationship,BusinessFunction,BusinessObject
Operation,Operator/maintainer training material,AccessRelationship,BusinessFunction,BusinessObject
Implementation,Life cycle concepts,AccessRelationship,BusinessFunction,BusinessObject
Transition,Life cycle concepts,AccessRelationship,BusinessFunction,BusinessObject
Project Planning,Project infrastructure needs,AccessRelationship,BusinessFunction,BusinessObject
Stakeholder Needs and Requirements Definition,Preliminary MOE needs,AccessRelationship,BusinessFunction,BusinessObject
Acquisition,Organization strategic plan,AccessRelationship,BusinessFunction,BusinessObject
Life Cycle Model Management,Organizational process performance measures needs,AccessRelationship,BusinessFunction,BusinessObject
Integration,Integration record,AccessRelationship,BusinessFunction,BusinessObject
Human Resource Management,Human resource management report,AccessRelationship,BusinessFunction,BusinessObject
Life Cycle Model Management,Organization tailoring strategy,AccessRelationship,BusinessFunction,BusinessObject
Maintenance,Maintenance constraints,AccessRelationship,BusinessFunction,BusinessObject
Validation,Validation enabling system requirements,AccessRelationship,BusinessFunction,BusinessObject
Verification,Verification report,AccessRelationship,BusinessFunction,BusinessObject
Implementation,Implementation record,AccessRelationship,BusinessFunction,BusinessObject
Transition,Transition enabling system requirements,AccessRelationship,BusinessFunction,BusinessObject
Transition,Verification report,AccessRelationship,BusinessFunction,BusinessObject
Architecture Definition,System function definition,AccessRelationship,BusinessFunction,BusinessObject
Design Definition,System design description,AccessRelationship,BusinessFunction,BusinessObject
Quality Assurance,Quality management plan,AccessRelationship,BusinessFunction,BusinessObject
Maintenance,Maintenance procedure,AccessRelationship,BusinessFunction,BusinessObject
Implementation,System design rationale,AccessRelationship,BusinessFunction,BusinessObject
Transition,Installed system,AccessRelationship,BusinessFunction,BusinessObject
Life Cycle Model Management,Organizational process performance measures data,AccessRelationship,BusinessFunction,BusinessObject
Validation,Validation report,AccessRelationship,BusinessFunction,BusinessObject
Quality Management,Quality management guidelines,AccessRelationship,BusinessFunction,BusinessObject
Life Cycle Model Management,Life cycle models,AccessRelationship,BusinessFunction,BusinessObject
Project Planning,Project portfolio,AccessRelationship,BusinessFunction,BusinessObject
Transition,Operator/maintainer training material,AccessRelationship,BusinessFunction,BusinessObject
Project Planning,Project direction,AccessRelationship,BusinessFunction,BusinessObject
Quality Management,Quality management record,AccessRelationship,BusinessFunction,BusinessObject
Project Assessment and Control,Project performance measures data,AccessRelationship,BusinessFunction,BusinessObject
Disposal,Disposal record,AccessRelationship,BusinessFunction,BusinessObject
Validation,Transition report,AccessRelationship,BusinessFunction,BusinessObject
Design Definition,System function definition,AccessRelationship,BusinessFunction,BusinessObject
Quality Management,Quality management report,AccessRelationship,BusinessFunction,BusinessObject
Architecture Definition,System architecture description,AccessRelationship,BusinessFunction,BusinessObject
Life Cycle Model Management,Life cycle model management record,AccessRelationship,BusinessFunction,BusinessObject
Quality Assurance,Quality management guidelines,AccessRelationship,BusinessFunction,BusinessObject
Validation,Validation constraints,AccessRelationship,BusinessFunction,BusinessObject
Measurement,Measurement repository,AccessRelationship,BusinessFunction,BusinessObject
